URL,Response Code,News Error,Detected,Category,Platform,Last crawled
http://www.law.columbia.edu/contact-us,404,,1/22/17,Not found,Desktop,7/22/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=541999,404,,6/30/17,Not found,Desktop,6/30/17
http://www.law.columbia.edu/law_school/communications/reports,404,,1/22/17,Not found,Desktop,7/25/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=622913,404,,1/30/17,Not found,Desktop,6/16/17
http://www.law.columbia.edu/null/NLJ_Ranking?exclusive=filemgr.download&file_id=133&showthumb=0,404,,6/18/17,Not found,Desktop,6/18/17
http://www.law.columbia.edu/law_school/communications/reports/winter2003,404,,5/29/17,Not found,Desktop,7/20/17
http://www.law.columbia.edu/null?&layout=profpopup&main.ctrl=contactmgr.detail&main.view=profiles.detail&global.id=497,404,,2/1/17,Not found,Desktop,6/26/17
http://www.law.columbia.edu/center_program/korean_legal/Visiting_Schola,404,,7/24/17,Not found,Desktop,7/24/17
http://www.law.columbia.edu/null?&layout=profpopup&main.ctrl=contactmgr.detail&main.view=profiles.detail&global.id=5553,404,,7/4/17,Not found,Desktop,7/4/17
http://www.law.columbia.edu/center_program/ag/Pharma_Conf,404,,6/18/17,Not found,Desktop,6/18/17
http://www.law.columbia.edu/fac/Jody_Armstrong,404,,1/24/17,Not found,Desktop,5/28/17
http://www.law.columbia.edu/center_program/ag/CharitiesProj/conference,404,,6/21/17,Not found,Desktop,6/21/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=55920,404,,6/16/17,Not found,Desktop,6/16/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=542137,404,,6/6/17,Not found,Desktop,6/6/17
http://www.law.columbia.edu/center_program/experimentalism?exclusive=filemgr.download&file_id=941713&rtcontentdisposition=filename%3DLeeKM%20-%20Reinv%20Gideon2.doc,404,,1/24/17,Not found,Desktop,7/8/17
http://www.law.columbia.edu/law_school/fac_support,404,,1/24/17,Not found,Desktop,7/22/17
http://www.law.columbia.edu/fac/Jose_Alvarez,404,,6/20/17,Not found,Desktop,6/20/17
http://www.law.columbia.edu/center_program/gendersexuality/events/2011-sotomayor-gallery,404,,1/21/17,Not found,Desktop,7/25/17
"http://www.law.columbia.edu/null/Fennell,+Lee+Ann+-+Spring+04?exclusive=filemgr.download&file_id=91133&showthumb=0",404,,2/1/17,Not found,Desktop,6/21/17
http://www.law.columbia.edu/hamburger?exclusive=filemgr.download&file_id=942327&rtcontentdisposition=filename%3DLiberality.pdf,404,,1/21/17,Not found,Desktop,6/15/17
http://www.law.columbia.edu/fac/Kevin_Arlyck,404,,7/12/17,Not found,Desktop,7/12/17
http://www.law.columbia.edu/student-journals/law_arts,404,,1/24/17,Not found,Desktop,5/28/17
http://www.law.columbia.edu/careers/summer-institute,404,,1/21/17,Not found,Desktop,7/28/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/UPR%20Toolkit.pdf,404,,1/21/17,Not found,Desktop,6/9/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=163703,404,,6/16/17,Not found,Desktop,7/23/17
http://www.law.columbia.edu/center_program/crime/faculty,404,,2/7/17,Not found,Desktop,5/8/17
http://www.law.columbia.edu/llm_jsd/grad_studies/courses/moot_court,404,,1/31/17,Not found,Desktop,6/5/17
http://www.law.columbia.edu/alumni/highlights/alumni_news/2005/spring_05,404,,7/14/17,Not found,Desktop,7/14/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/The%20Road%20to%20Rights%20Final.Date%20Inside.pdf,404,,1/25/17,Not found,Desktop,6/28/17
http://www.law.columbia.edu/law_school/education_tech/streaming,404,,4/2/17,Not found,Desktop,7/16/17
http://www.law.columbia.edu/fac/Silvia_Hodges%20Silverstein,404,,6/11/17,Not found,Desktop,6/30/17
http://www.law.columbia.edu/law_school/communications/reports/summer2005/911_part2,404,,1/20/17,Not found,Desktop,7/29/17
http://www.law.columbia.edu/human-rights-institute/events/accountabilitycle,404,,6/14/17,Not found,Desktop,7/13/17
http://www.law.columbia.edu/media_inquiries/news_faculty/antitrust,404,,1/24/17,Not found,Desktop,6/26/17
http://www.law.columbia.edu/media_inquiries/news_faculty/maritime,404,,1/22/17,Not found,Desktop,7/23/17
http://www.law.columbia.edu/law_school/education_tech/streaming/live,404,,5/25/17,Not found,Desktop,5/25/17
http://www.law.columbia.edu/center_program/korean_legal/Book,404,,6/18/17,Not found,Desktop,6/18/17
http://www.law.columbia.edu/fac/Jennifer_Rodgers,404,,7/26/17,Not found,Desktop,7/26/17
http://www.law.columbia.edu/center_program/ag/CharitiesProj/conference/fraud09,404,,6/21/17,Not found,Desktop,6/21/17
http://www.law.columbia.edu/law_school/communications/reports/winter2004/opinions,404,,1/22/17,Not found,Desktop,7/27/17
http://www.law.columbia.edu/law_school/communications/reports/winter2002/environ_at_cls,404,,1/19/17,Not found,Desktop,5/12/17
http://www.law.columbia.edu/fac/Evan_van%20Hook,404,,1/28/17,Not found,Desktop,6/15/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/UPRTargetingColumbiaFINAL.pdf,404,,6/14/17,Not found,Desktop,6/14/17
http://www.law.columbia.edu/experimentalism?exclusive=filemgr.download&file_id=96632&rtcontentdisposition=filename%3DGabbay+-+Holding+RJ+Accountable.doc,404,,1/20/17,Not found,Desktop,6/6/17
http://www.law.columbia.edu/calendar/event/62628,404,,6/13/17,Not found,Desktop,6/13/17
http://www.law.columbia.edu/business,404,,1/20/17,Not found,Desktop,7/22/17
http://www.law.columbia.edu/null?&exclusive=filemgr.download&file_id=55737&rtcontentdisposition=filename%3DPersily%20codebook.pdf,404,,1/28/17,Not found,Desktop,6/14/17
http://www.law.columbia.edu/fac/Sherry_Colb,404,,6/25/17,Not found,Desktop,6/25/17
http://www.law.columbia.edu/experimentalism?exclusive=filemgr.download&file_id=96625&rtcontentdisposition=filename%3DGarrett%20-%20Distinguishing%20Lyons.doc,404,,1/25/17,Not found,Desktop,7/29/17
http://www.law.columbia.edu/fac/Rebecca_Hamilton,404,,3/5/17,Not found,Desktop,5/12/17
http://www.law.columbia.edu/null?&layout=profpopup&main.ctrl=contactmgr.detail&main.view=profiles.detail&global.id=925,404,,5/30/17,Not found,Desktop,6/29/17
http://www.law.columbia.edu/law_school/communications/reports/winter07/events,404,,1/20/17,Not found,Desktop,6/23/17
http://www.law.columbia.edu/media_inquiries/news_faculty/environmental,404,,1/24/17,Not found,Desktop,7/4/17
http://www.law.columbia.edu/alumni/news/2009/11/global-justice-forum,404,,7/25/17,Not found,Desktop,7/25/17
http://www.law.columbia.edu/_jslocal,404,,5/4/17,Not found,Desktop,7/25/17
http://www.law.columbia.edu/human-rights-institute/events/assuranceswebcast,404,,6/24/17,Not found,Desktop,6/24/17
http://www.law.columbia.edu/fac/Lani_Guinier,404,,6/22/17,Not found,Desktop,6/22/17
http://www.law.columbia.edu/experimentalism?exclusive=filemgr.download&file_id=96625&rtcontentdisposition=filename%3DGarrett+-+Distinguishing+Lyons.doc,404,,1/23/17,Not found,Desktop,6/2/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/ctlm%20docs/Unlawful%20Killings%20Cover%20Page%20and%20Extract.pdf,404,,5/30/17,Not found,Desktop,5/30/17
http://www.law.columbia.edu/publicinterest,404,,6/15/17,Not found,Desktop,6/15/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=623512,404,,5/6/17,Not found,Desktop,6/29/17
"http://www.law.columbia.edu/ipimages/Human_Rights_Institute/Gonzales%20reply%20brief%20June%205,%202010%20FINAL.pdf",404,,5/25/17,Not found,Desktop,5/25/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/Amicus%20Curiae%20Brief.Caso%2012.651.El%20Instituto%20de%20Derechos%20Humanos.pdf,404,,1/24/17,Not found,Desktop,5/22/17
http://www.law.columbia.edu/law_school/communications/reports/winter2005/hired,404,,1/20/17,Not found,Desktop,7/22/17
http://www.law.columbia.edu/media_inquiries/news_faculty/immigration,404,,1/19/17,Not found,Desktop,7/25/17
http://www.law.columbia.edu/null?&layout=profpopup&main.ctrl=contactmgr.detail&main.view=profiles.detail&global.id=5445,404,,6/28/17,Not found,Desktop,6/28/17
http://www.law.columbia.edu/center_program/legal_theory/papers/fall2011,404,,2/11/17,Not found,Desktop,7/28/17
http://www.law.columbia.edu/llm_intro/nondeg,404,,2/15/17,Not found,Desktop,5/7/17
http://www.law.columbia.edu/fac/Hanoch_Dagan,404,,7/11/17,Not found,Desktop,7/22/17
http://www.law.columbia.edu/fac/Rosalind_Dixon,404,,1/20/17,Not found,Desktop,6/24/17
http://www.law.columbia.edu/null/download?&exclusive=filemgr.download&file_id=601091,404,,6/17/17,Not found,Desktop,6/17/17
http://www.law.columbia.edu/fac/Patricia_Rohan,404,,3/24/17,Not found,Desktop,7/21/17
http://www.law.columbia.edu/ipimages/Human_Rights_Institute/ctlm%20docs/Human%20Rights%20Law%20Review-2010-McGregor-487-503%5B1%5D.pdf,404,,6/26/17,Not found,Desktop,6/26/17
http://www.law.columbia.edu/center_program/experimentalism,404,,6/21/17,Not found,Desktop,6/21/17
http://www.law.columbia.edu/law_school/communications/reports/fall2003/mdoyle,404,,5/30/17,Not found,Desktop,5/30/17
